id,handle,followers_count,friends_count,isProxy
0,"derspiegel",3103525,353,0
1,"zeitonline",2574003,30,0
2,"tagesschau",3892299,324,0
3,"welt",1835493,273,0
4,"stuttgarttweets",18414,4895,0
5,"SPIEGEL_EIL",1891516,25,0
6,"ENERGYStuttgart",12062,8868,0
7,"faznet",797429,332,0
8,"StZ_NEWS",139034,1030,0
9,"StN_News",43324,2540,0
10,"SWPde",14142,398,0
11,"LKZ_online",2973,362,0
12,"Habbel",2493,635,0
13,"SWRAktuellBW",85728,816,0
14,"mfg_kreativ",4177,909,0
15,"kesseltv",7935,625,0
16,"KreativNetzBW",2629,2339,0
17,"BlumeEvolution",26802,19865,0
18,"HerrDiesinger",259,189,0
19,"Stuttgart_Journ",2667,891,0
20,"buntebuehne",402,101,0
21,"dpa",426763,1384,0
22,"Rebstock_Fest",316,46,0
23,"VKUonline",7642,3733,0
24,"ez_online",4156,61,0
25,"IHKStuttgart",3531,150,0
26,"bfrde",11204,630,0
27,"iaostuttgart",7406,1080,0
28,"hwk_stuttgart",2783,391,0
29,"WinneHermann",8028,134,0
30,"ZDF",1421968,397,0
31,"Schwaebische",9218,162,0
32,"egovcomde",5854,3581,0
33,"k21news",3678,313,0
34,"NABU_Fellbach",278,14,0
35,"BertelsmannSt",21367,384,0
36,"bzonline",1118,95,0
37,"bundesrat",169407,811,0
38,"demoonline",1752,1891,0
39,"bwcon_info",2809,1067,0
40,"svmatis",2109,750,0
41,"StGBNRW",1537,268,0
42,"VVS",12177,1148,0
43,"zvw_redaktion",2782,219,0
44,"IT_Region",1813,402,0
45,"SZ",1874351,275,0
46,"BILD_Stuttgart",7706,41,0
47,"enjoy_stuttgart",8271,479,0
48,"stuttgart_stadt",38257,223,0
49,"weinkistle",190,150,0
50,"NNews_de",2848,12,0
51,"Cagrostar",892,1721,0
52,"BMUV",181814,304,0
53,"StZ_Live",5460,59,0
54,"EsslingenTweets",2902,123,0
55,"DLF",301296,524,0
56,"thelaend",21970,555,0
57,"GrossMarc",2528,2175,0
58,"Muhterem_Aras",5453,832,0
59,"regio_tv_stgt",2143,478,0
60,"mariosorg",2105,1940,0
61,"RegSprecherStS",974049,157,0
62,"WRS_GmbH",1825,422,0
63,"KommunalForum",2479,2128,0
64,"Helmholtz_HZI",14363,1317,0
65,"SWRpresse",16890,250,0
66,"derbmtag",726,924,0
67,"destatis",46791,146,0
68,"sta_redaktion",1857,811,0
69,"bzga_de",76303,538,0
70,"WegweisKommune",3181,1024,0
71,"RegierungBW",94453,1296,0
72,"literaturlandbw",248,182,0
73,"Gemeindebund",5375,822,0
74,"dlfkultur",151372,1583,0
75,"eVergabe",198,73,0
76,"IC_DStGB",772,205,0
77,"Luftballon_Stgt",647,634,0
78,"stuggitv",3730,694,0
79,"F_f_Kommunen",1176,205,0
80,"VDC_Fellbach",871,644,0
81,"LufftOnline",834,255,0
82,"visitbawu",2895,605,0
83,"Denkmalstiftung",256,348,0
84,"stteduca",1228,80,0
85,"FritzKuhn1",6794,225,0
86,"DigitaleStadt",2772,715,0
87,"BMWK",157588,993,0
88,"StadtSchorndorf",680,86,0
89,"digitaledoerfer",1786,105,0
90,"ZDFheute",1002185,326,0
91,"KOPO_Magazin",497,78,0
92,"STADTRADELN",8346,419,0
93,"KGSt_de",3387,542,0
94,"staedtetag",8120,1016,0
95,"rki_de",604870,135,0
96,"kommunal_eu",1022,447,0
97,"sbahn_chaos_de",2542,32,0
98,"CMilankovic",790,730,0
99,"finnlandinst",2613,2277,0
100,"WolzKernen",11,5,0
101,"Landtag_BW",2462,19,0
102,"FellbacherWeine",128,108,0
103,"bbsr_bund",7274,553,0
104,"auxalia_DE",475,386,0
105,"FFriesecke",3682,3362,0
106,"bcsd_ev",358,1097,0
107,"BMG_Bund",332660,1003,0
108,"TwitterMktgDACH",56748,80,0
109,"ZDFstuttgart",2319,225,0
110,"Rathaus20",1885,800,0
111,"Chr_Erhardt",2735,884,0
112,"RND_de",62329,700,0
113,"SWFellbach",138,19,0
114,"Bundestag",19729,9,0
115,"bpol_bw",40798,261,0
116,"TpocKommune",2481,1975,0
117,"DLTonline",3269,622,0
118,"data_4_society",3212,1185,0
119,"ltwbw16",1237,842,0
120,"mediapressde",38,128,0
121,"zensus2022",4337,84,0
122,"vhsUR",100,112,0
123,"Die_VKA",515,391,0
124,"InnoLabbw",321,280,0
125,"FinanzenBW",1369,311,0
126,"LandkreistagBW",176,104,0
127,"eu_local",189,159,0
128,"KM_BW",18555,486,0
129,"Ideenwerkbw",1836,1270,0
130,"ValentinGauss",314,999,0
131,"IBA2027",656,226,0
132,"MSI_BW",9077,759,0
133,"baukultur_",2541,571,0
134,"WM_BW",4986,369,0
135,"IMbawue",8219,134,0
136,"PolizeiAalen",5907,130,0
137,"staedtetag_nrw",1914,399,0
138,"StaedtetagBW",1536,239,0
139,"LEOBW_1",1327,1141,0
140,"Next__Public",813,197,0
141,"bwstiftung",1720,332,0
142,"Gemeindetag_BW",1547,367,0
143,"DNK_Redaktion",625,192,0
144,"SBahn_Stuttgart",8219,290,0
145,"SmartCountryCon",2670,4048,0
146,"digitalmobilBW",1409,721,0
147,"akquinet_gov",1373,1955,0